SC_project_short_code,SiteID,TargetSpecies,PlotID,MethodCode,YearEst,MonthEst,DayEst
SC_Rocky_It,ALEG,pisaster,1,IP,2002,3,27
SC_Rocky_It,ALEG,pisaster,2,IP,2002,3,27
SC_Rocky_It,ALEG,pisaster,3,IP,2002,3,27
SC_Rocky_It,ANCR,pisaster,site,,,,
SC_Rocky_It,ANMW,pisaster,site,,,,
SC_Rocky_It,ANSFC,pisaster,site,,,,
SC_Rocky_It,CAB3,pisaster,site,TS30,1990,2,8
SC_Rocky_It,CARE,pisaster,site,TS30,1997,10,16
SC_Rocky_It,CARP,pisaster,1,,,,
SC_Rocky_It,CARP,pisaster,2,,,,
SC_Rocky_It,CARP,pisaster,3,,,,
SC_Rocky_It,CARP,pisaster,1T,BT25,1992,2,29
SC_Rocky_It,CARP,pisaster,2T,BT25,1992,2,29
SC_Rocky_It,CARP,pisaster,3T,BT25,1992,2,29
SC_Rocky_It,CARP,pisaster,1P,IP,2004,3,17
SC_Rocky_It,CARP,pisaster,2P,IP,2004,3,17
SC_Rocky_It,CARP,pisaster,3P,IP,2004,3,17
SC_Rocky_It,CLBS,pisaster,site,TS30,2009,11,1
SC_Rocky_It,CLEP,pisaster,site,TS30,2009,11,3
SC_Rocky_It,CLWC,pisaster,site,TS30,2009,11,2
SC_Rocky_It,COPT,pisaster,1,GSES,2010,2,23
SC_Rocky_It,CRCO,pisaster,site,GSES,2000,12,10
SC_Rocky_It,GPT,pisaster,1,IP,1992,3,15
SC_Rocky_It,GPT,pisaster,2,IP,1992,3,15
SC_Rocky_It,GPT,pisaster,3,IP,1992,3,15
SC_Rocky_It,GPT,pisaster,site,GSES,2003,6,14
SC_Rocky_It,NANO,pisaster,site,TS30,1995,2,28
SC_Rocky_It,PTFM,pisaster,1,IP,2003,3,18
SC_Rocky_It,PTFM,pisaster,2,IP,2003,3,18
SC_Rocky_It,PTFM,pisaster,3,IP,2003,3,18
SC_Rocky_It,PTFM,pisaster,site,GSES,2011,12,9
SC_Rocky_It,SBLC,pisaster,site,,,,
SC_Rocky_It,SBSLR,pisaster,site,,,,
SC_Rocky_It,SCFC,pisaster,site,,,,
SC_Rocky_It,SCOC,pisaster,site,,,,
SC_Rocky_It,SCPH,pisaster,site,,,,
SC_Rocky_It,SCSR,pisaster,site,,,,
SC_Rocky_It,SCTR,pisaster,site,,,,
SC_Rocky_It,SCWA,pisaster,site,,,,
SC_Rocky_It,SHCO,pisaster,site,GSES,1998,12,6
SC_Rocky_It,SMCH,pisaster,site,,,,
SC_Rocky_It,SMCP,pisaster,site,,,,
SC_Rocky_It,SMHP,pisaster,site,,,,
SC_Rocky_It,SMOH,pisaster,site,,,,
SC_Rocky_It,SREP,pisaster,site,,,,
SC_Rocky_It,SRFP,pisaster,site,,,,
SC_Rocky_It,SRFR,pisaster,site,,,,
SC_Rocky_It,SRJL,pisaster,site,,,,
SC_Rocky_It,SRNWT,pisaster,site,,,,
